query_id,sum,count,relevance_rate
query_100,8,13,0.6153846153846154
query_078,8,13,0.6153846153846154
query_083,6,13,0.46153846153846156
query_075,5,13,0.38461538461538464
query_097,5,13,0.38461538461538464
query_092,5,13,0.38461538461538464
query_001,5,13,0.38461538461538464
query_098,4,13,0.3076923076923077
query_095,4,13,0.3076923076923077
query_093,4,13,0.3076923076923077
query_030,4,13,0.3076923076923077
query_036,4,13,0.3076923076923077
query_074,4,13,0.3076923076923077
query_053,4,13,0.3076923076923077
query_034,4,13,0.3076923076923077
query_033,4,13,0.3076923076923077
query_032,4,13,0.3076923076923077
query_050,3,13,0.23076923076923078
query_031,3,13,0.23076923076923078
query_029,3,13,0.23076923076923078
query_070,3,13,0.23076923076923078
query_037,3,13,0.23076923076923078
query_068,3,13,0.23076923076923078
query_049,3,13,0.23076923076923078
query_067,3,13,0.23076923076923078
query_025,3,13,0.23076923076923078
query_077,3,13,0.23076923076923078
query_022,3,13,0.23076923076923078
query_021,3,13,0.23076923076923078
query_055,3,13,0.23076923076923078
query_084,3,13,0.23076923076923078
query_018,3,13,0.23076923076923078
query_087,3,13,0.23076923076923078
query_052,3,13,0.23076923076923078
query_014,3,13,0.23076923076923078
query_013,3,13,0.23076923076923078
query_062,2,13,0.15384615384615385
query_063,2,13,0.15384615384615385
query_060,2,13,0.15384615384615385
query_054,2,13,0.15384615384615385
query_066,2,13,0.15384615384615385
query_007,2,13,0.15384615384615385
query_076,2,13,0.15384615384615385
query_079,2,13,0.15384615384615385
query_085,2,13,0.15384615384615385
query_088,2,13,0.15384615384615385
query_072,2,13,0.15384615384615385
query_051,2,13,0.15384615384615385
query_048,2,13,0.15384615384615385
query_047,2,13,0.15384615384615385
query_017,2,13,0.15384615384615385
query_035,2,13,0.15384615384615385
query_041,2,13,0.15384615384615385
query_042,2,13,0.15384615384615385
query_019,2,13,0.15384615384615385
query_028,2,13,0.15384615384615385
query_027,2,13,0.15384615384615385
query_024,2,13,0.15384615384615385
query_044,2,13,0.15384615384615385
query_023,2,13,0.15384615384615385
query_045,2,13,0.15384615384615385
query_010,2,13,0.15384615384615385
query_015,2,13,0.15384615384615385
query_086,1,13,0.07692307692307693
query_005,1,13,0.07692307692307693
query_082,1,13,0.07692307692307693
query_090,1,13,0.07692307692307693
query_016,1,13,0.07692307692307693
query_089,1,13,0.07692307692307693
query_080,1,13,0.07692307692307693
query_091,1,13,0.07692307692307693
query_004,1,13,0.07692307692307693
query_012,1,13,0.07692307692307693
query_094,1,13,0.07692307692307693
query_011,1,13,0.07692307692307693
query_096,1,13,0.07692307692307693
query_003,1,13,0.07692307692307693
query_099,1,13,0.07692307692307693
query_081,1,13,0.07692307692307693
query_026,1,13,0.07692307692307693
query_020,1,13,0.07692307692307693
query_006,1,13,0.07692307692307693
query_002,1,13,0.07692307692307693
query_046,1,13,0.07692307692307693
query_009,1,13,0.07692307692307693
query_056,1,13,0.07692307692307693
query_057,1,13,0.07692307692307693
query_058,1,13,0.07692307692307693
query_059,1,13,0.07692307692307693
query_043,1,13,0.07692307692307693
query_061,1,13,0.07692307692307693
query_064,1,13,0.07692307692307693
query_065,1,13,0.07692307692307693
query_040,1,13,0.07692307692307693
query_039,1,13,0.07692307692307693
query_038,1,13,0.07692307692307693
query_069,1,13,0.07692307692307693
query_071,1,13,0.07692307692307693
query_073,1,13,0.07692307692307693
query_008,1,13,0.07692307692307693
